Location,Date,PM10,PM2.5
Ciudad de Mexico,1/2/2020,17.6,4.9
Ciudad de Mexico,1/3/2020,24.2,6.9
Ciudad de Mexico,1/4/2020,50.8,30.2
Ciudad de Mexico,1/5/2020,34,21.1
Ciudad de Mexico,1/6/2020,61.2,33.7
Ciudad de Mexico,1/7/2020,51.9,23.1
Ciudad de Mexico,1/8/2020,52.4,27.3
Ciudad de Mexico,1/9/2020,54.5,27.6
Ciudad de Mexico,1/10/2020,37.7,15.1
Ciudad de Mexico,1/11/2020,40.8,20.1
Ciudad de Mexico,1/12/2020,44.4,25
Ciudad de Mexico,1/13/2020,42.7,23
Ciudad de Mexico,1/14/2020,43.4,20.6
Ciudad de Mexico,1/15/2020,39.9,18.7
Ciudad de Mexico,1/16/2020,46.9,25.4
Ciudad de Mexico,1/17/2020,32.9,17.7
Ciudad de Mexico,1/18/2020,51.4,29
Ciudad de Mexico,1/19/2020,51.4,29
Ciudad de Mexico,1/20/2020,30.3,11.8
Ciudad de Mexico,1/21/2020,39.8,21.8
Ciudad de Mexico,1/22/2020,50.7,28.4
Ciudad de Mexico,1/23/2020,47.1,18.4
Ciudad de Mexico,1/24/2020,37.8,12.2
Ciudad de Mexico,1/25/2020,46,17
Ciudad de Mexico,1/26/2020,35.1,11.2
Ciudad de Mexico,1/27/2020,39.9,10.9
Ciudad de Mexico,1/28/2020,31.3,7.7
Ciudad de Mexico,1/29/2020,39,11
Ciudad de Mexico,1/30/2020,34.1,5.2
Ciudad de Mexico,1/31/2020,37.9,7.8
Ciudad de Mexico,2/4/2020,35.7,5
Ciudad de Mexico,2/5/2020,38,4.7
Ciudad de Mexico,2/6/2020,32.3,5.5
Ciudad de Mexico,2/7/2020,51.4,15.3
Ciudad de Mexico,2/8/2020,45.9,13.3
Ciudad de Mexico,2/9/2020,48.8,14.3
Ciudad de Mexico,2/10/2020,58.2,16.4
Ciudad de Mexico,2/11/2020,68.5,19.6
Ciudad de Mexico,2/12/2020,61.7,13.9
Ciudad de Mexico,2/13/2020,64.2,18.8
Ciudad de Mexico,2/14/2020,63.1,27.4
Ciudad de Mexico,2/15/2020,59.3,31.3
Ciudad de Mexico,2/16/2020,50.5,16.9
Ciudad de Mexico,2/17/2020,53.3,13
Ciudad de Mexico,2/18/2020,55.8,16.4
Ciudad de Mexico,2/19/2020,51.4,29
Ciudad de Mexico,2/20/2020,51.4,29
Ciudad de Mexico,2/21/2020,51.4,29
Ciudad de Mexico,2/22/2020,51.4,29
Ciudad de Mexico,2/23/2020,51.4,29
Ciudad de Mexico,2/24/2020,51.4,29
Ciudad de Mexico,2/25/2020,51.4,29
Ciudad de Mexico,2/26/2020,51.4,29
Ciudad de Mexico,2/27/2020,51.4,29
Ciudad de Mexico,2/28/2020,64,38
Ciudad de Mexico,2/29/2020,40.1,20
Ciudad de Mexico,3/1/2020,44.5,24.8
Ciudad de Mexico,3/2/2020,40.2,20.9
Ciudad de Mexico,3/3/2020,28.9,13.3
Ciudad de Mexico,3/4/2020,28.3,11
Ciudad de Mexico,3/5/2020,49.2,21.8
Ciudad de Mexico,3/6/2020,61.5,36.1
Ciudad de Mexico,3/7/2020,42.4,29
Ciudad de Mexico,3/8/2020,51.4,29
Ciudad de Mexico,3/9/2020,51.4,29
Ciudad de Mexico,3/10/2020,50.3,25.9
Ciudad de Mexico,3/11/2020,49.9,27.9
Ciudad de Mexico,3/12/2020,46.9,20.7
Ciudad de Mexico,3/13/2020,43.8,18.5
Ciudad de Mexico,3/14/2020,38.7,16.5
Ciudad de Mexico,3/15/2020,34.8,18.1
Ciudad de Mexico,3/16/2020,31.4,17.2
Ciudad de Mexico,3/17/2020,33.4,19.9
Ciudad de Mexico,3/18/2020,41.9,25.2
Ciudad de Mexico,3/19/2020,38.4,21.8
Ciudad de Mexico,3/20/2020,39.2,22.4
Ciudad de Mexico,3/21/2020,36.5,23.5
Ciudad de Mexico,3/22/2020,32.8,19.6
Ciudad de Mexico,3/23/2020,33,17.7
Ciudad de Mexico,3/24/2020,40.8,22.5
Ciudad de Mexico,3/25/2020,40.1,20.4
Ciudad de Mexico,3/26/2020,48.2,27.3
Ciudad de Mexico,3/27/2020,39.5,19.3
Ciudad de Mexico,3/28/2020,49.1,27.3
Ciudad de Mexico,3/29/2020,53.8,27.7
Ciudad de Mexico,3/30/2020,53.5,29.8
Ciudad de Mexico,3/31/2020,48.8,21.2
Ciudad de Mexico,4/1/2020,46.1,26.6
Ciudad de Mexico,4/2/2020,42.8,24.5
Ciudad de Mexico,4/3/2020,31.8,19.2
Ciudad de Mexico,4/4/2020,26.6,17.3
Ciudad de Mexico,4/5/2020,29.1,17.4
Ciudad de Mexico,4/6/2020,35.8,21.3
Ciudad de Mexico,4/7/2020,33.2,20
Ciudad de Mexico,4/8/2020,37.7,22.4
Ciudad de Mexico,4/9/2020,33.7,23.7
Ciudad de Mexico,4/10/2020,30.6,20.9
Ciudad de Mexico,4/11/2020,38.6,24
Ciudad de Mexico,4/12/2020,33.2,19.8
Ciudad de Mexico,4/13/2020,38.6,24.1
Ciudad de Mexico,4/14/2020,50,27.7
Ciudad de Mexico,4/15/2020,48.7,34.9
Ciudad de Mexico,4/16/2020,52.3,33.1
Ciudad de Mexico,4/17/2020,51.8,32
Ciudad de Mexico,4/18/2020,48,31.9
Ciudad de Mexico,4/19/2020,55.7,40.5
Ciudad de Mexico,4/20/2020,45.9,27.1
Ciudad de Mexico,4/21/2020,64.1,26.3
Ciudad de Mexico,4/22/2020,32.3,21.7
Ciudad de Mexico,4/23/2020,30.3,19
Ciudad de Mexico,4/24/2020,38.7,26.9
Ciudad de Mexico,4/25/2020,36.5,25.2
Ciudad de Mexico,4/26/2020,26.7,17.8
Ciudad de Mexico,4/27/2020,23.1,12.1
Ciudad de Mexico,4/28/2020,28.8,15.9
Ciudad de Mexico,4/29/2020,31,17.8
Ciudad de Mexico,4/30/2020,27.2,13.3
Ciudad de Mexico,5/1/2020,26,10.4
Ciudad de Mexico,5/2/2020,51.4,29
Ciudad de Mexico,5/3/2020,51.4,29
Ciudad de Mexico,5/4/2020,51.4,29
Ciudad de Mexico,5/5/2020,51.4,29
Ciudad de Mexico,5/6/2020,51.4,29
Ciudad de Mexico,5/7/2020,51.4,29
Ciudad de Mexico,5/8/2020,27.7,22
Ciudad de Mexico,5/9/2020,45.6,40.8
Ciudad de Mexico,5/10/2020,35.7,32.4
Ciudad de Mexico,5/11/2020,28.6,28.2
Ciudad de Mexico,5/12/2020,51.4,29
Ciudad de Mexico,5/13/2020,51.4,29
Ciudad de Mexico,5/14/2020,51.4,29
Ciudad de Mexico,5/15/2020,51.4,29
Ciudad de Mexico,5/16/2020,51.4,29
Ciudad de Mexico,5/17/2020,51.4,29
Ciudad de Mexico,5/18/2020,51.4,29
Ciudad de Mexico,5/19/2020,29.1,16.9
Ciudad de Mexico,5/20/2020,50.7,35.7
Ciudad de Mexico,5/21/2020,63.9,48.8
Ciudad de Mexico,5/22/2020,48.9,35.7
Ciudad de Mexico,5/23/2020,37.8,26
Ciudad de Mexico,5/24/2020,36.6,27.2
Ciudad de Mexico,5/25/2020,33,21.4
Ciudad de Mexico,5/26/2020,42.8,29.5
Ciudad de Mexico,5/27/2020,62.9,44.8
Ciudad de Mexico,5/28/2020,47.5,32.3
Ciudad de Mexico,5/29/2020,29,20.5
Ciudad de Mexico,5/30/2020,21.5,14
Ciudad de Mexico,5/31/2020,23.6,17.1
Ciudad de Mexico,6/1/2020,28.5,23.7
Ciudad de Mexico,6/2/2020,51.4,29
Ciudad de Mexico,6/3/2020,51.4,29
